nowtime,vendor,product_id,product_name,brand,current_price,old_price,units,price_per_unit,other
2024-01-01T05:04:11Z,Metro,15588,Original Recipe Kettle Cooked Chips,Miss Vickies,6.17,6.34,275GM,$3.53/100g,Low Stock
2024-01-01T05:03:00Z,Galleria,16895,Original Recipe kettle cooked potato chips 275g,Miss Vickie's,6.28,3.41,200GM,$1.59/100g,Out of Stock
2024-01-01T05:02:06Z,TandT,11599,"Miss Vickies - Original Recipe, Potato Chips, 200 Gram",Miss Vickie's,3.48,5.05,EA,$3.87/100g,Out of stock
2024-01-01T05:06:04Z,Metro,13778,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 275 g,Miss Vickie's,6.03,4.86,Value Size275g,$3.49/100g,2 for $9
2024-01-01T05:04:14Z,TandT,11029,"Miss Vickie's Original Recipe kettle cooked potato chips, 275GM",Miss Vickie's,5.77,5.97,275g,$3.1/100g,Out of stock
2024-01-01T05:00:03Z,NoFrills,12872,"Original Recipe Kettle Cooked Chips, Value Pack",Miss Vickie's,3.79,3.32,59g,$3.78/100g,$3.99
2024-01-01T05:02:06Z,Walmart,18467,"Miss Vickie's Original Recipe kettle cooked potato chips, 200GM",Miss Vickie's,5.4,4.32,200g,$2.73/100g,$3.99
2024-01-01T05:01:02Z,Galleria,10595,"Miss Vickies - Original Recipe, Potato Chips, 200 Gram",Miss Vickies,3.5,5.11,Value Size275g,$2.32/100g,Save now
2024-01-01T05:05:47Z,Loblaws,13969,Original Recipe Kettle Cooked Chips,Miss Vickies,6.04,3.73,275g,$2.95/100g,Save now
2024-01-01T05:01:31Z,TandT,11645,Original Recipe Kettle Cooked Chips,Miss Vickie's,4.01,4.36,Value Size275g,$1.87/100g,Low Stock
2024-01-01T05:04:28Z,Walmart,13929,"Miss Vickie's Original Recipe kettle cooked potato chips, 275GM",Miss Vickies,4.69,6.09,275GM,$2.99/100g,Best seller
2024-01-01T05:04:01Z,Walmart,19083,Original Recipe kettle cooked potato chips 275g,Miss Vickies,3.01,4.32,275g,$1.82/100g,2 for $9
2024-01-01T05:03:32Z,Galleria,11979,Original Recipe Kettle Cooked Potato Chips,Miss Vickie's,3.07,5.6,200GM,$1.87/100g,"sale
$5.00 MIN 2"
2024-01-01T05:03:37Z,SaveOnFoods,10020,"Miss Vickies - Original Recipe Potato Chips, Value Size, 275 Gram",Miss Vickie's,6.13,4.66,275g,$1.58/100g,Out of Stock
2024-01-01T05:05:17Z,Loblaws,13500,Original Recipe Kettle Cooked Chips,Miss Vickies,5.45,6.33,275GM,$2.96/100g,Rollback
2024-01-01T05:00:38Z,Metro,11222,"Miss Vickie's Original Recipe kettle cooked potato chips, 200GM",Miss Vickie's,6.33,3.22,Value Size275g,$3.4/100g,"sale
$5.00 MIN 2"
2024-01-01T05:02:33Z,SaveOnFoods,15174,"Miss Vickies - Original Recipe, Potato Chips, 200 Gram",Miss Vickie's,6.26,3.84,275GM,$2.27/100g,Rollback
2024-01-01T05:05:17Z,TandT,11990,"Miss Vickie's Original Recipe kettle cooked potato chips, 200GM",Miss Vickies,4.87,4.17,Potato Chips200g,$3.83/100g,Rollback
2024-01-01T05:02:08Z,SaveOnFoods,19226,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 275 g,Miss Vickie's,5.17,4.87,275g,$2.46/100g,2 for $9
2024-01-01T05:02:22Z,SaveOnFoods,10575,"Miss Vickie's Original Recipe kettle cooked potato chips, 275GM",Miss Vickies,5.75,6.43,200g,$2.84/100g,"sale
$3.99"
2024-01-01T05:02:19Z,Walmart,15505,Miss Vickies Original Recipe Chips 200g,Miss Vickie's,5.92,5.46,275g,$2.82/100g,Best seller
2024-01-01T05:03:55Z,Walmart,12876,Original Recipe kettle cooked potato chips 275g,Miss Vickies,4.8,4.37,275g,$3.17/100g,2 for $11
2024-01-01T05:03:10Z,TandT,13029,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 200 g,Miss Vickies,3.48,3.55,275GM,$1.75/100g,Save now
2024-01-01T05:01:05Z,Galleria,19922,MISS VICKIE`S ORIGINAL 200G,Miss Vickie's,4.36,6.27,Potato Chips200g,$2.13/100g,Save now
2024-01-01T05:00:10Z,NoFrills,11982,"Miss Vickies - Original Recipe Potato Chips, Value Size, 275 Gram",Miss Vickie's,5.66,4.69,275GM,$2.46/100g,"sale
$5.00 MIN 2"
2024-01-01T05:04:43Z,Galleria,14269,"Original Recipe Kettle Cooked Chips, Value Pack",Miss Vickies,5.87,3.92,275g,$3.39/100g,Low Stock
2024-01-01T05:02:58Z,Metro,11163,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 200 g,Miss Vickie's,5.73,3.63,275GM,$3.56/100g,SALE
2024-01-01T05:03:24Z,Voila,17013,"Miss Vickie's Original Recipe kettle cooked potato chips, 200GM",Miss Vickies,4.58,4.38,EA,$3.72/100g,Out of Stock
2024-01-01T05:06:02Z,Walmart,18895,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 275 g,Miss Vickies,5.61,4.68,EA,$1.6/100g,"sale
$3.99"
2024-01-01T05:04:16Z,Galleria,10104,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 275 g,Miss Vickie's,5.15,4.79,EA,$1.6/100g,Out of Stock
2024-01-01T05:05:05Z,TandT,17310,"Miss Vickies - Original Recipe Potato Chips, Value Size, 275 Gram",Miss Vickies,4.88,3.3,275GM,$3.58/100g,SCENE+ Buy 1 Earn 150 Points
