nowtime,vendor,product_id,product_name,brand,current_price,old_price,units,price_per_unit,other
2024-06-11 18:50:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-12 09:50:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-13 10:35:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-14 10:50:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-15 12:18:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-16 09:57:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-17 10:32:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-18 07:28:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-19 08:44:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-20 11:41:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-21 15:16:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-22 10:46:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-26 09:41:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-27 09:29:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-28 11:05:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-29 10:33:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-06-30 09:48:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-01 10:02:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-02 10:06:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-03 17:15:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-04 08:37:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-05 08:55:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-06 10:59:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-07 11:36:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-08 10:14:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-09 08:49:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-10 08:12:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-11 09:11:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-12 08:27:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-13 09:33:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-14 11:06:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-15 12:57:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-16 09:56:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-17 11:17:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-18 10:02:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-19 10:18:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-25 09:53:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-26 08:30:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-27 11:03:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-28 10:10:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-29 08:46:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-07-30 08:30:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-08-04 10:26:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-08-05 11:09:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-08-06 10:31:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-08-07 08:40:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-08-08 13:17:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-08-09 12:54:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-08-10 11:02:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-08-11 11:52:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-08-30 09:39:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-08-31 11:51:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-01 10:57:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-02 10:36:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-03 13:26:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-04 10:09:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-05 10:30:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-11 09:32:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-12 10:12:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-13 09:35:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-14 10:16:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-15 13:33:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-16 11:47:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-17 10:55:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-18 10:15:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-19 10:25:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-20 09:51:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-21 09:34:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-22 09:10:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-23 08:23:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-24 09:58:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-09-25 09:32:00,Galleria,19391,MISS VICKIE`S ORIGINAL 200G,,5.49,,EA,,
2024-08-12 10:16:00,Galleria,20420,MISS VICKIE`S ORIGINAL 200G,,5.49,,Current price: EA,,
2024-06-22 12:00:00,Voila,719138,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 200 g,,5.49,,200g,$2.75/100g,
2024-06-11 01:19:00,Voila,719138,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 200 g,,5.49,,200g,$2.75/100g,
2024-06-11 20:00:00,Voila,719138,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 200 g,,5.49,,200g,$2.75/100g,
2024-06-12 12:39:00,Voila,719138,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 200 g,,5.49,,200g,$2.75/100g,
2024-06-13 11:56:00,Voila,719138,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 200 g,,4.50,5.49,200g,$2.25/100g,SALE
2024-06-14 12:01:00,Voila,719138,Miss Vickie's Kettle Cooked Potato Chips Original Recipe 200 g,,4.50,5.49,200g,$2.25/100g,SALE
